Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StudyText.started,Studyslider.started,Studyslider.response,Studyslider.rt,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
case,,,,0,0,0,10,,,,,11.344064300181344,11.344064300181344,1.0,2.6406470998190343,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
chart,,,,0,1,1,6,,,,,14.027836800087243,14.027836800087243,1.0,0.7429513998795301,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
cushion,,,,0,2,2,1,,,,,14.79652150021866,14.79652150021866,1.0,0.7830133999232203,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
laptop,,,,0,3,3,5,,,,,15.60316040017642,15.60316040017642,1.0,0.6742828001733869,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
poster,,,,0,4,4,14,,,,,16.310456700157374,16.310456700157374,1.0,0.6096210998948663,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
T-shirt,,,,0,5,5,7,,,,,16.943856000201777,16.943856000201777,1.0,0.5397395000327379,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
book,,,,0,6,6,0,,,,,17.510224600089714,17.510224600089714,1.0,0.5427704998292029,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
mouse,,,,0,7,7,8,,,,,18.076790400082245,18.076790400082245,1.0,0.4929546001367271,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
pastry,,,,0,8,8,9,,,,,18.59377870010212,18.59377870010212,1.0,0.5237796001601964,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
police,,,,0,9,9,12,,,,,19.143571800086647,19.143571800086647,1.0,0.47677970002405345,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
phone,,,,0,10,10,2,,,,,19.643245600163937,19.643245600163937,1.0,0.5425366000272334,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
beard,,,,0,11,11,4,,,,,20.21016570017673,20.21016570017673,1.0,0.5068544999230653,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
keys,,,,0,12,12,13,,,,,20.743687100009993,20.743687100009993,1.0,0.47618819982744753,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
marble,,,,0,13,13,3,,,,,21.24328640010208,21.24328640010208,1.0,0.46004320005886257,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
cruise,,,,0,14,14,11,,,,,21.727046000072733,21.727046000072733,1.0,0.6454959998372942,,,,,,,,,,,,,,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,p_s__y,pastry,old,,,,,0,0,0,4,,,,,22.42754190019332,22.42754190019332,22.42754190019332,0.018365100026130676,pastry,"[-0.5, 0.09027777777777778]","[-0.2986111111111111, -0.2986111111111111]","[1, 1]","[0, 0]","[0, 0]","[0.3278312999755144, 7.161387200001627]",['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,p_li_e,police,old,,,,,0,1,1,7,,,,,29.593747100094333,29.593747100094333,29.593747100094333,0.004644699860364199,police,[0.07916666666666666],[-0.3],[1],[0],[0],[4.258524499833584],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
