Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StudyText.started,Studyslider.started,Studyslider.response,Studyslider.rt,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,_a_bl_,marble,old,,,,,0,2,2,11,,,,,33.842917300062254,33.842917300062254,33.842917300062254,0.0028089999686926603,table,[0.05138888888888889],[-0.3055555555555556],[1],[0],[0],[14.178947899956256],['submit_text'],43.843010700074956,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,_ou_e,mouse,old,,,,,0,3,3,3,,,,,48.026250099996105,48.026250099996105,48.026250099996105,0.002921400126069784,mouse,[0.075],[-0.3138888888888889],[1],[0],[0],[3.779561499832198],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,T_hi_t,Tshirt,old,,,,,0,4,4,2,,,,,51.809143900172785,51.809143900172785,51.809143900172785,0.0029869999270886183,tshirt,[0.075],[-0.3138888888888889],[1],[0],[0],[3.9284304999746382],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,k_y_,keys,old,,,,,0,5,5,8,,,,,55.7427999000065,55.7427999000065,55.7427999000065,0.00263010011985898,keys,[0.06666666666666667],[-0.30277777777777776],[1],[0],[0],[6.046401199884713],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,_ru_s_,cruise,old,,,,,0,6,6,6,,,,,61.79241090011783,61.79241090011783,61.79241090011783,0.00273349997587502,brush,[0.05416666666666667],[-0.31527777777777777],[1],[0],[0],[12.096620700089261],['submit_text'],71.7927222000435,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,_ha_t,chart,old,,,,,0,7,7,1,,,,,73.90965220006183,73.90965220006183,73.90965220006183,0.004537499975413084,that,[0.04027777777777778],[-0.30694444444444446],[1],[0],[0],[16.743066200055182],['submit_text'],83.90935360011645,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,bo_t_e,bottle,new,,,,,0,8,8,18,,,,,90.64182950020768,90.64182950020768,90.64182950020768,0.002759600058197975,bottle,[0.034722222222222224],[-0.2986111111111111],[1],[0],[0],[3.845891200006008],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,_ho_e,phone,old,,,,,0,9,9,12,,,,,94.50931700016372,94.50931700016372,94.50931700016372,0.005146400071680546,shooe,[0.03194444444444444],[-0.2986111111111111],[1],[0],[0],[10.459671099903062],['submit_text'],104.50920810014941,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,p_st_r,poster,old,,,,,0,10,10,9,,,,,104.97562580020167,104.97562580020167,104.97562580020167,0.004715299932286143,pastry,[0.03194444444444444],[-0.2986111111111111],[1],[0],[0],[4.292587100062519],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,_oo_,book,old,,,,,0,11,11,13,,,,,109.25843510008417,109.25843510008417,109.25843510008417,0.002584399888291955,book,[0.03194444444444444],[-0.2986111111111111],[1],[0],[0],[4.447060799924657],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,c_s_io_,cushion,old,,,,,0,12,12,14,,,,,113.72574030002579,113.72574030002579,113.72574030002579,0.0047107001300901175,cushion,[0.020833333333333332],[-0.30694444444444446],[1],[0],[0],[5.209564400138333],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,p_nc_l,pencil,new,,,,,0,13,13,16,,,,,118.94215980009176,118.94215980009176,118.94215980009176,0.004623499931767583,pencil,[0.020833333333333332],[-0.30694444444444446],[1],[0],[0],[4.875464100157842],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,c_s_,case,old,,,,,0,14,14,5,,,,,123.8081793000456,123.8081793000456,123.8081793000456,0.0025251000188291073,case,[0.020833333333333332],[-0.30694444444444446],[1],[0],[0],[4.365453799953684],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,_o_rd,board,old,,,,,0,15,15,10,,,,,128.19194060005248,128.19194060005248,128.19194060005248,0.004549599951133132,board,[0.020833333333333332],[-0.30694444444444446],[1],[0],[0],[7.525199099909514],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,ta_l_,table,new,,,,,0,16,16,15,,,,,135.7251781001687,135.7251781001687,135.7251781001687,0.004650200018659234,table,[0.020833333333333332],[-0.30694444444444446],[1],[0],[0],[3.443373200017959],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,c_m_ra,camera,new,,,,,0,17,17,19,,,,,139.1750586000271,139.1750586000271,139.1750586000271,0.004727799911051989,camera,[0.020833333333333332],[-0.30694444444444446],[1],[0],[0],[3.962785799987614],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,l_pt_p,laptop,old ,,,,,0,18,18,0,,,,,143.14175060018897,143.14175060018897,143.14175060018897,0.004502099938690662,laptop,[0.020833333333333332],[-0.30694444444444446],[1],[0],[0],[5.20723109995015],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
,v_s_,vase,new,,,,,0,19,19,17,,,,,148.3583246001508,148.3583246001508,148.3583246001508,0.007724700029939413,vase,[0.020833333333333332],[-0.30694444444444446],[1],[0],[0],[4.2737374000716954],['submit_text'],,267133,001,2023-10-05_21h19.19.976,word_priming_exp,2023.1.3,59.70862198593968,
